number,local_first_derivative_maximum,local_first_derivative_maximum_time,amplitude_first_derivative_maximum,local_second_serivative_maximum_time,local_minima_amplitude,local_minima_time,index_maxima,index_tangent_last,index_tangent,tangent_intercept_Swath,tangent_slope_Swath,intersection_time_swath,tangent_intercept,tangent_slope,intersection_time,probe_end_time,travel_length_medium,travel_time_media,air_start_time,air_end_time,theoretical_probe_end_time,rounded_theo_probe_end_time,swath_offset_time,index_minima,index_minima_tangent_first,index_minima_tangent_last,minima_swath_intersection,rounded_minima_swath_inters,r_Square_maxima,,
2,480,3875,1863,4005,1357,3390,776,921,631,-2180.757638,1.05246999,3361.38576,-7437,2.4,3664.166667,3665,0.01,396.484552,2415,2681.666667,3078.151219,3080,-283.2345415,679,674,684,3360.227121,3365,0.955543278,1,103.9540604
3,620,3840,1569,3820,1219,3410,769,914,624,-1985.716813,0.954181515,3358.602909,-10335,3.1,3727.096774,3730,0.015,594.726828,2415,2648.333333,3243.060161,3245,-115.5427472,683,678,688,3355.840438,3360,0.922304437,1.5,50.44828695
4,640,3870,1438,4010,1080,3385,775,920,630,-1946.568679,0.893637271,3386.797728,-10946,3.2,3758.125,3760,0.02,792.9691041,2415,2615,3407.969104,3410,21.17137646,678,673,683,3387.378978,3390,0.916108062,2,33.50653494
5,480,4265,1737,4250,982,3575,854,941,767,-2650.107768,1.019033139,3564.268548,-8499,2.4,3950.416667,3955,0.025,991.2113801,2415,2581.666667,3572.878047,3575,8.609498853,716,711,721,3564.584631,3565,0.972256152,2.5,34.75823245
6,620,4265,1609,4250,934,3645,854,928,780,-3609.507658,1.214846363,3739.985397,-11612.5,3.1,4047.258065,4050,0.03,1189.453656,2415,2548.333333,3737.786989,3740,-2.198407994,730,725,735,3743.379142,3745,0.971139301,3,35.50086605
7,620,4290,1498,4270,935,3725,859,916,802,-5052.079097,1.522144717,3933.317923,-11801,3.1,4108.387097,4110,0.035,1387.695932,2415,2515,3902.695932,3905,-30.62199093,746,741,751,3945.35257,3950,0.982584749,3.5,36.94822771
8,660,4340,1404,4325,946,3875,869,905,833,-6829.801802,1.891571023,4110.763861,-12918,3.3,4201.212121,4205,0.04,1585.938208,2415,2481.666667,4067.604875,4070,-43.158986,776,771,781,4120.98668,4125,0.989793506,4,37.32127971
9,480,4350,1210,4510,944,3970,871,888,854,-6877.984874,1.858991597,4207.649399,-9230,2.4,4239.166667,4240,0.045,1784.180484,2415,2448.333333,4232.513817,4235,24.86441869,795,790,800,4215.039672,4220,0.9962159,4.5,34.39103354
10,560,4595,1463,5470,940,4160,920,925,915,-10911.17273,2.692727273,4401.178258,-11403,2.8,4408.214286,4410,0.05,1982.42276,2415,2415,4397.42276,4395,-3.755497774,833,828,838,4413.242574,4415,0.999335253,5,35.50413665
