Amplitude_number,Amplitude_intersect,intersect_time,air_start_time,air_length,air_end_time,rounded_air_end_time,rounded_probe_end_time,soil_perm,soil_length,probe_end_swath_inters,swath_perm,theoretical_probe_end_time,swath_last_point,offset_swath_theo,local_Second_derv_maxima
0,1639.3395721925135,2762.887700534759,2415,0.05,2748.3333333333335,2750,2765,Inf,0,2738.8537606081513,Inf,2750,2678.5,11.146239391848667,2810
1,1685.4056795131837,2799.4016227180527,2415,0.045000000000000005,2715,2715,2800,6.502500000000008,0.0049999999999999975,2784.933497119626,4.401624617442648,2803.128693776015,2724,18.19519665638927,2880
2,2289.151162346936,3098.1976743018254,2415,0.04,2681.6666666666665,2685,3100,38.750624999999985,0.010000000000000002,3095.7609397443907,38.581665074047976,2861.2573875520307,2910.5,-234.50355219236008,3105
3,2333.0950953865304,3153.933716388376,2415,0.035,2648.3333333333335,2650,3155,25.502499999999998,0.015,3153.2714633410865,25.49625151357265,2914.3860813280457,2901.5,-238.88538201304073,3145
4,1887.44921875,3084.5442708333335,2415,0.030000000000000002,2615,2615,3085,12.425625,0.02,2960.977468308354,6.733147982459527,2967.514775104061,2938,6.537306795706627,3325
5,1778.534114933691,3083.726696136844,2415,0.025,2581.6666666666665,2585,3085,9,0.025,3025.2468394526327,7.083481308797793,3025.6434688800764,2908,0.3966294274437132,3090
6,1725.5541339221927,3125.1026173929986,2415,0.020000000000000004,2548.3333333333335,2550,3130,8.41,0.03,3072.830492812743,6.877431757549234,3078.7721626560915,2936,5.941669843348336,3175
7,1674.3052978855594,3147.608881938345,2415,0.015,2515,2515,3150,7.4061734693877534,0.035,3140.2763231270583,7.181090453815591,3131.9008564321066,2960.5,-8.375466694951683,3195
8,1778.2984586389193,3191.07461465973,2415,0.010000000000000002,2481.6666666666665,2485,3195,7.088906250000001,0.04,3190.4671261347785,7.0649731594997816,3190.029550208122,2943,-0.4375759266563364,3465
9,1792.8995505930907,3229.6763384097326,2415,0.0050000000000000044,2448.3333333333335,2450,3230,6.760000000000001,0.045,3228.7398836370976,6.767048708411349,3243.1582439841372,2982.5,14.418360347039652,3160
10,1570.1534988713283,3290.5981941309246,2415,0,2415,2415,3295,6.969600000000001,0.05,3275.760845383761,6.668183096511902,3296.2869377601523,3123.5,20.52609237639126,3450
