number,local_first_derivative_maximum,local_first_derivative_maximum_time,amplitude_first_derivative_maximum,local_second_serivative_maximum_time,local_minima_amplitude,local_minima_time,index_maxima,index_tangent_last,index_tangent,tangent_intercept_Swath,tangent_slope_Swath,intersection_time_swath,tangent_intercept,tangent_slope,intersection_time,probe_end_time,travel_length_medium,travel_time_media,air_start_time,air_end_time,theoretical_probe_end_time,rounded_theo_probe_end_time,swath_offset_time,index_minima,index_minima_tangent_first,index_minima_tangent_last,minima_swath_intersection,rounded_minima_swath_inters
2,560,3930,2184,4085,1456,3345,787,926,648,-2191.4649066000698,1.0963279514637148,3326.983410146859,-8820,2.8,3669.9999999999995,3670,0.01,396.4845520319802,2415,2681.6666666666665,3078.1512186986465,3080,-248.8321914482126,670,665,675,3326.543773156816,3330
3,580,3825,1595,3870,1266,3420,766,905,627,-2150.528111151632,1.0131031396081291,3372.3398710156534,-9497.5,2.9,3711.551724137931,3715,0.015,594.7268280479702,2415,2648.3333333333335,3243.0601613813037,3245,-129.27970963434973,685,680,690,3370.2928215917395,3375
4,680,3865,1440,3950,1093,3455,774,913,635,-2136.143820795901,0.9470110179137801,3409.8270872386997,-11701,3.4,3762.9411764705883,3765,0.02,792.9691040639603,2415,2615,3407.9691040639605,3410,-1.8579831747392745,692,687,697,3407.618208084828,3410
5,459.99999999999994,3915,1366,3750,1003,3550,784,884,684,-2828.338683316088,1.0721705334712563,3573.4415036680375,-7638.5,2.3,3757.1739130434785,3750,0.025,991.2113800799506,2415,2581.6666666666665,3572.878046746617,3575,-0.5634569214203111,711,706,716,3576.6632544687545,3580
6,560,4255,1599,4250,928,3665,852,914,790,-3809.3584884792667,1.2677824884792634,3736.7281308340566,-10315,2.8,4015.3571428571427,4020,0.03,1189.4536560959405,2415,2548.3333333333335,3737.786989429274,3740,1.0588585952173162,734,729,739,3746.8485870506465,3750
7,680,4295,1551,4285,931,3675,860,913,807,-4992.290875604926,1.5174004192872108,3903.577987929748,-13052,3.4,4112.64705882353,4115,0.035,1387.695932111931,2415,2515,3902.695932111931,3905,-0.882055817816763,736,731,741,3910.962754214372,3915
8,600,4340,1425,4555,941,3730,869,919,819,-5907.6780430984245,1.6833313919627253,4068.5263019499835,-11595,3,4178.666666666667,4180,0.04,1585.9382081279207,2415,2481.6666666666665,4067.604874794587,4070,-0.9214271553964863,747,742,752,4072.5502517036725,4075
9,480,4590,1633,4425,948,4010,919,929,909,-7078.026839827041,1.8968831168831592,4231.1657309781485,-9383,2.4,4304.583333333334,4305,0.045000000000000005,1784.180484143911,2415,2448.3333333333335,4232.513817477245,4235,1.3480864990960981,803,798,808,4241.0110224249465,4245
10,640,4575,1354,4625,921,4175,916,925,907,-9759.421052631411,2.428771929824525,4397.457382259459,-13286,3.2,4439.6875,4440,0.05,1982.4227601599011,2415,2415,4397.422760159901,4395,-0.03462209955796425,836,831,841,4409.398708858662,4410
